DBpediaProperty	#tables
rpm	2309
savings	2307
sets	2305
score	2303
seconds	2301
since	2299
smoothness	2297
standard deviation	2295
stock	2293
stockpile	2291
stroke	2289
subscribers	2287
tariff	2285
value added tax	2283
views	2281
visitors	2279
voters	2277
wage	2275
winners	2273
absolute	2271
adhesion	2269
albumin	2267
amount	2265
averaged	2263
average	2261
bacteria	2259
balance	2257
blood	2255
burstiness	2253
calculated	2251
capitalisation	2249
chromatin	2247
coefficient	2245
column	2243
complex	2241
concavity	2239
countdown	2237
correlation	2235
creatinine	2233
credits	2231
curtosis	2229
debits	2227
decimal	2225
decline	2223
decrease	2221
deficit	2219
demand	2217
dewpoint	2215
dew point	2213
diabetes	2211
difference	2209
differential	2207
earnings	2205
eccentricity	2203
entropy	2201
expenditure	2199
expenses	2197
export	2195
factor	2193
fee	2191
force	2189
fraction	2187
gradient	2185
gravity	2183
hemoglobin	2181
hypertension	2179
import	2177
increase	2175
index	2173
inflation	2171
intensity	2169
interaction	2167
intercept	2165
investment	2163
load	2161
maximum	2159
mean	2157
measures	2155
measurement	2153
measure	2151
median	2149
metering	2147
minimum	2145
mitoses	2143
mode	2141
nuclei	2139
nucleoli	2137
occurrences	2135
orientation	2133
payment	2131
pressure	2129
price	2127
profit	2125
quantity	2123
radian	2121
random	2119
real	2117
refund	2115
reimbursement	2113
row	2111
serial	2110
sequence	2109
skewness	2107
symmetry	2105
slag	2103
slope	2101
speed	2099
sum	2097
surplus	2095
take	2093
tax	2091
texture	2089
thickness	2087
torque	2085
total	2083
uniformity	2081
vacuum	2079
value	2077
variance	2075
visibility	2073
voltage	2071
withdrawal	2069
yield	2067
hydrogen	2065
helium	2063
lithium	2061
beryllium	2059
boron	2057
carbon	2055
nitrogen	2053
oxygen	2051
fluorine	2049
neon	2047
sodium	2045
magnesium	2043
aluminum	2041
silicon	2039
phosphorus	2037
sulfur	2035
sulphate	2033
chloride	2031
chlorine	2029
argon	2027
potassium	2025
calcium	2023
scandium	2021
titanium	2019
vanadium	2017
chromium	2015
manganese	2013
iron	2011
cobalt	2009
nickel	2007
copper	2005
