DBpediaProperty	#tables
debut team	9
game engine	9
associate editor	9
head chef	9
dfe	9
sport discipline	9
bioavailability	9
personname	9
population total	9
total cargo	9
city link	9
capital country	8
academic discipline	8
current member	8
grandsire	8
torch bearer	8
bioclimate	8
date unveiled	8
maximum area	8
region link	8
broadcast network	7
bronze medalist	7
portrayer	7
wine region	7
fastest driver	7
golden raspberry award	7
source state	7
area metro	7
lccn	7
valvetrain	7
tournament record	7
average class size	7
blazon	7
historical region	7
last launch	7
surface gravity	7
administrative district	6
government position	6
picture format	6
previous work	6
twin city	6
third driver	6
apoapsis	6
founding year	6
orbital inclination	6
serving temperature	6
other wins	6
first mention	6
licence number	6
regional council	6
ski lift	6
status year	6
flag bearer	5
gene location	5
main interest	5
management position	5
national affiliation	5
unitary authority	5
alongside	5
buildingtype	5
classis	5
golden globe award	5
last champion	5
solicitor general	5
taoiseach	5
torque output	5
extinction date	5
mission duration	5
periapsis	5
service module	5
access date	5
area rank	5
gini coefficient	5
kanji name	5
highest mountain	4
literary genre	4
lymph	4
musical artist	4
running mate	4
musictype	4
coaching record	4
pubchem	4
uniprot	4
vehicles per day	4
bowl record	4
human development index	4
minimum area	4
rebuilder	3
aircraft electronic	3
highest place	3
international affiliation	3
military rank	3
term period	3
past member	3
largest metro	3
old district	3
organisation member	3
youth club	3
project objective	3
area land	3
batting side	3
commissioning date	3
destruction date	3
final flight	3
formation year	3
geologic period	3
leader title	3
maiden flight	3
mean radius	3
medlineplus	3
mesh number	3
statistic value	3
city type	3
former call sign	3
majority leader	3
end reign	3
flagsize	3
general council	3
hairs	3
manx name	3
event period	3
purchasing power parity	3
scots name	3
siren number	3
winter temperature	3
first winner	2
aircraft helicopter	2
distributing label	2
ending theme	2
lieutenancy area	2
owning company	2
previous event	2
resting place	2
route start	2
source region	2
twin country	2
current production	2
metropolitan borough	2
royal anthem	2
state delegate	2
first driver	2
administrative center	2
emmy award	2
executive headteacher	2
mouth state	2
sil code	2
subprefecture	2
season number	2
location identifier	2
eruption date	2
longname	2
mesh name	2
passengers per day	2
visitors per year	2
fare zone	2
publicly accessible	2
rebuilding year	2
shoe number	2
coast line	2
maori name	2
military government	2
summer temperature	2
welsh name	2
education system	1
project participant	1
appointer	1
automobile platform	1
capital position	1
daylight saving time zone	1
distributing company	1
firstleader	1
lowest position	1
next mission	1
previous mission	1
programme format	1
structural system	1
orogeny	1
sheading	1
current partner	1
highway system	1
home stadium	1
oil system	1
left child	1
right child	1
acting headteacher	1
afi award	1
co executive producer	1
enshrined deity	1
grammy award	1
most populous country	1
museumtype	1
peabody award	1
unique reference number	1
vice leader	1
other channel	1
asset under management	1
chebi	1
dewey decimal classification	1
dissolution date	1
drugbank	1
floor count	1
last election date	1
last publication date	1
mesh id	1
minimum elevation	1
nuts code	1
omim id	1
total launches	1
imdb id	1
campus size	1
height above average terrain	1
rail gauge	1
administrative status	1
capital coordinates	1
city since	1
continent rank	1
coronation date	1
historical map	1
code istat	1
japan name	1
service end date	1
ski tow	1
start career	1
